 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
  249     0.00148752              1   0.000229999    0.000227795   0.00148752        0.0014758   T=3.82271s   ACCEPTED
  250      0.0014758              1   0.000227795    0.000225625    0.0014758       0.00146421   T=3.91902s   ACCEPTED
  251     0.00146421              1   0.000225625     0.00022349   0.00146421       0.00145275   T=3.64885s   ACCEPTED
  252     0.00145275              1   0.00022349    0.000221388   0.00145275       0.00144142   T=3.33911s   ACCEPTED
  253     0.00144142              1   0.000221388    0.000219318   0.00144142       0.00143021   T=3.60132s   ACCEPTED
  254     0.00143021              1   0.000219318     0.00021728   0.00143021       0.00141913   T=3.70054s   ACCEPTED
  255     0.00141913              1   0.00021728    0.000215274   0.00141913       0.00140817   T=3.5773s   ACCEPTED
  256     0.00140817              1   0.000215274    0.000213299   0.00140817       0.00139733   T=3.87738s   ACCEPTED
  257     0.00139733              1   0.000213299    0.000211354   0.00139733       0.00138661   T=3.74665s   ACCEPTED
  258     0.00138661              1   0.000211354    0.000209439   0.00138661       0.00137601   T=3.64968s   ACCEPTED
  259     0.00137601              1   0.000209439    0.000207552   0.00137601       0.00136553   T=3.78269s   ACCEPTED
  260     0.00136553              1   0.000207552    0.000205695   0.00136553       0.00135517   T=3.70653s   ACCEPTED
  261     0.00135517              1   0.000205695    0.000203865   0.00135517       0.00134492   T=3.74918s   ACCEPTED
  262     0.00134492              1   0.000203865    0.000202063   0.00134492       0.00133478   T=3.83832s   ACCEPTED
  263     0.00133478              1   0.000202063    0.000200288   0.00133478       0.00132476   T=3.71014s   ACCEPTED
  264     0.00132476              1   0.000200288     0.00019854   0.00132476       0.00131485   T=3.55525s   ACCEPTED
  265     0.00131485              1   0.00019854    0.000196818   0.00131485       0.00130505   T=3.46119s   ACCEPTED
  266     0.00130505              1   0.000196818    0.000195121   0.00130505       0.00129535   T=3.48437s   ACCEPTED
  267     0.00129535              1   0.000195121    0.000193449   0.00129535       0.00128577   T=3.6672s   ACCEPTED
  268     0.00128577              1   0.000193449    0.000191802   0.00128577       0.00127629   T=3.61549s   ACCEPTED
  269     0.00127629              1   0.000191802    0.000190179   0.00127629       0.00126691   T=3.89274s   ACCEPTED
